function_value,coverd_time,window_size,linear_length,non_linear_length,inverse_value
1.1,750,561,529,32,1.0009926747282805
1.2,2573,561,529,32,1.004525474728334
1.3,19711,561,529,32,1.0093316747283692
1.4,166547,561,529,32,1.0138784347713246
1.5,1294845,561,529,32,1.018061474993803
1.6,9074722,561,529,32,1.0219491230560769
1.7,57506951,561,529,32,1.0255923886032916
1.8,331820620,561,529,32,1.0290263735067835
1.9,1756412229,561,529,32,1.03227711910793
2.0,8589935119,561,529,32,1.0353651248948388
